gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,payment_method,support_calls,late_payments,monthly_charges,total_charges,churn
Male,0,Yes,No,16,Two year,No,No internet service,No internet service,Bank transfer,1,0,32.01,468.52,0
Female,0,Yes,Yes,19,Month-to-month,Fiber optic,Yes,No,Electronic check,1,1,91.13,1738.24,1
Male,0,Yes,Yes,40,Two year,DSL,Yes,No,Electronic check,1,0,49.2,2059.33,0
Female,0,Yes,No,7,Month-to-month,DSL,No,No,Bank transfer,0,0,58.09,417.95,0
Female,0,No,No,33,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,2,83.36,2737.17,1
Male,0,No,No,72,Two year,Fiber optic,No,No,Electronic check,1,1,75.89,5445.89,1
Male,0,No,Yes,35,Month-to-month,DSL,No,Yes,Mailed check,0,0,60.23,2140.78,0
Female,0,Yes,Yes,3,Month-to-month,Fiber optic,No,No,Credit card,1,0,64.92,219.69,0
Female,0,Yes,Yes,13,Two year,Fiber optic,Yes,Yes,Bank transfer,2,0,79.8,1085.26,0
Female,0,Yes,Yes,16,Month-to-month,DSL,Yes,No,Credit card,1,0,55.14,840.02,0
Female,0,Yes,No,52,One year,DSL,No,Yes,Electronic check,3,0,60.74,3293.53,0
Female,0,No,Yes,23,One year,DSL,Yes,No,Credit card,2,0,60.84,1378.65,0
Female,0,Yes,No,5,Month-to-month,Fiber optic,Yes,Yes,Mailed check,1,0,108.64,505.08,0
Female,0,No,Yes,25,One year,DSL,No,No,Credit card,0,0,54.25,1427.93,0
Female,0,Yes,No,29,Month-to-month,DSL,No,Yes,Bank transfer,1,0,47.52,1432.23,1
Female,0,No,No,18,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,0,86.97,1526.83,1
Male,0,No,Yes,12,Month-to-month,Fiber optic,No,No,Credit card,0,0,74.69,936.95,1
Female,0,No,Yes,72,One year,Fiber optic,No,Yes,Credit card,1,1,76.62,5491.08,0
Female,0,No,No,46,One year,Fiber optic,Yes,Yes,Electronic check,0,1,76.06,3523.89,1
Female,0,No,Yes,48,Two year,Fiber optic,Yes,Yes,Electronic check,1,1,82.7,3983.68,1
Male,0,No,Yes,23,One year,Fiber optic,No,No,Bank transfer,0,0,79.3,1976.65,0
Female,0,Yes,No,16,Month-to-month,No,No internet service,No internet service,Electronic check,0,0,28.92,546.14,0
Male,1,Yes,No,18,Two year,Fiber optic,No,No,Electronic check,0,0,80.79,1518.22,1
Male,0,No,No,9,One year,Fiber optic,Yes,No,Electronic check,0,1,87.37,832.26,0
Male,0,Yes,Yes,69,Month-to-month,DSL,No,Yes,Mailed check,3,0,59.58,4035.82,0
Female,0,No,Yes,24,Month-to-month,Fiber optic,No,No,Bank transfer,0,0,44.74,1084.86,1
Male,0,Yes,No,60,Month-to-month,No,No internet service,No internet service,Electronic check,4,0,18.0,1053.67,0
Male,0,No,No,19,Month-to-month,DSL,Yes,No,Bank transfer,1,1,44.6,844.32,0
Female,0,Yes,Yes,35,One year,DSL,No,Yes,Mailed check,1,0,69.27,2429.61,0
Male,0,No,No,30,Month-to-month,Fiber optic,No,No,Credit card,2,0,74.04,2118.31,0
Male,0,Yes,No,8,Two year,No,No internet service,No internet service,Electronic check,0,0,23.19,168.49,0
Male,0,Yes,No,72,One year,DSL,Yes,Yes,Credit card,1,0,60.75,4381.62,0
Male,0,No,No,19,Month-to-month,No,No internet service,No internet service,Credit card,3,0,33.59,693.73,0
Male,0,Yes,No,10,Two year,DSL,Yes,No,Bank transfer,1,0,49.72,450.18,0
Female,0,Yes,No,40,One year,No,No internet service,No internet service,Bank transfer,0,0,18.0,672.58,0
Male,0,No,Yes,26,Month-to-month,No,No internet service,No internet service,Electronic check,0,0,18.0,416.6,0
Male,0,No,No,33,Month-to-month,Fiber optic,No,No,Mailed check,1,1,70.77,2316.32,0
Female,0,Yes,No,28,One year,No,No internet service,No internet service,Electronic check,2,0,18.38,446.98,0
Female,0,No,No,3,Month-to-month,No,No internet service,No internet service,Bank transfer,2,0,32.87,178.22,1
Female,0,Yes,No,13,One year,No,No internet service,No internet service,Credit card,0,0,24.76,368.43,0
Male,0,Yes,Yes,13,One year,Fiber optic,Yes,No,Electronic check,1,0,65.62,1015.96,0
Male,0,No,No,48,One year,Fiber optic,Yes,Yes,Mailed check,0,1,82.82,3943.48,1
Male,0,Yes,No,27,Two year,DSL,No,No,Bank transfer,2,0,41.9,1182.93,0
Female,0,Yes,No,37,One year,DSL,Yes,No,Mailed check,3,0,55.67,1986.98,0
Male,1,Yes,No,20,One year,Fiber optic,Yes,Yes,Bank transfer,0,1,93.37,1955.57,0
Female,0,No,Yes,38,Month-to-month,DSL,No,Yes,Mailed check,3,1,56.38,2129.57,1
Male,0,No,No,23,Month-to-month,No,No internet service,No internet service,Bank transfer,3,0,19.26,437.92,0
Male,0,Yes,No,22,Month-to-month,DSL,No,No,Electronic check,1,1,53.13,1245.39,1
Male,0,No,No,30,One year,DSL,Yes,Yes,Bank transfer,0,0,61.15,1907.37,0
Male,0,No,Yes,28,Month-to-month,DSL,No,No,Mailed check,0,0,53.83,1448.44,0
Male,0,Yes,No,72,Two year,DSL,Yes,No,Electronic check,1,1,59.17,4253.88,0
Female,1,No,Yes,13,Month-to-month,DSL,Yes,No,Bank transfer,1,1,48.11,710.93,0
Male,0,Yes,No,7,Month-to-month,Fiber optic,No,No,Mailed check,1,1,59.03,391.13,0
Male,1,Yes,Yes,33,Month-to-month,DSL,No,Yes,Bank transfer,1,1,54.56,1818.84,0
Male,0,Yes,No,15,Two year,Fiber optic,No,No,Bank transfer,1,1,72.8,1124.28,0
Female,0,Yes,Yes,3,Month-to-month,Fiber optic,No,Yes,Mailed check,1,1,91.35,358.59,1
Female,0,No,Yes,11,One year,Fiber optic,Yes,No,Credit card,0,0,67.44,781.91,0
Male,0,No,Yes,72,One year,Fiber optic,No,Yes,Mailed check,1,0,69.41,4982.91,0
Female,0,No,No,13,Month-to-month,DSL,Yes,No,Mailed check,0,0,64.24,717.32,1
Female,0,Yes,No,5,One year,DSL,No,No,Mailed check,0,1,50.94,296.91,0
Female,0,Yes,No,72,Two year,No,No internet service,No internet service,Mailed check,1,1,22.95,1662.74,0
Male,0,Yes,No,10,One year,Fiber optic,No,No,Credit card,0,0,74.75,854.05,1
Female,0,Yes,No,72,Two year,DSL,No,No,Bank transfer,3,0,59.3,4304.14,0
Male,0,No,Yes,20,Month-to-month,Fiber optic,No,Yes,Electronic check,2,0,85.67,1679.4,0
Male,0,No,Yes,72,Two year,DSL,Yes,Yes,Mailed check,2,1,58.75,4155.22,0
Female,0,No,No,22,Two year,DSL,No,No,Electronic check,1,2,52.88,1153.01,0
Male,0,No,No,35,One year,DSL,No,No,Bank transfer,1,1,58.41,2066.12,0
Female,0,Yes,Yes,24,Two year,Fiber optic,Yes,Yes,Credit card,1,0,82.05,1975.48,0
Female,1,Yes,No,22,One year,Fiber optic,Yes,No,Bank transfer,0,0,79.36,1670.19,1
Female,0,Yes,No,31,One year,Fiber optic,Yes,Yes,Mailed check,0,1,79.68,2302.87,0
Male,0,No,No,36,One year,DSL,Yes,No,Electronic check,1,0,48.75,1697.58,0
Male,0,Yes,Yes,29,Month-to-month,DSL,No,No,Electronic check,1,0,52.69,1381.65,1
Male,0,Yes,No,27,One year,DSL,No,Yes,Mailed check,0,0,64.77,1689.9,0
Female,0,No,No,15,Month-to-month,Fiber optic,No,Yes,Credit card,3,2,83.5,1266.99,1
Female,0,Yes,No,24,One year,No,No internet service,No internet service,Mailed check,1,1,18.0,518.77,0
Male,0,No,No,69,One year,Fiber optic,Yes,Yes,Credit card,0,0,94.91,6401.93,0
Female,0,Yes,Yes,14,Month-to-month,DSL,Yes,Yes,Mailed check,1,0,69.07,905.46,1
Female,0,No,No,31,Month-to-month,DSL,Yes,Yes,Electronic check,0,2,73.45,2300.67,0
Male,0,Yes,No,56,Month-to-month,DSL,No,No,Bank transfer,0,2,42.01,2325.53,0
Male,0,No,No,36,One year,No,No internet service,No internet service,Electronic check,1,0,31.19,1132.6,0
Female,0,No,No,48,One year,Fiber optic,No,No,Electronic check,1,0,74.59,3602.95,1
Female,0,Yes,No,10,Month-to-month,Fiber optic,Yes,No,Electronic check,1,0,66.36,638.89,1
Female,0,No,Yes,32,Month-to-month,Fiber optic,No,No,Bank transfer,2,0,73.02,2408.92,0
Male,0,No,Yes,21,Month-to-month,Fiber optic,Yes,No,Electronic check,3,0,68.26,1579.2,1
Female,0,No,No,22,Month-to-month,Fiber optic,Yes,No,Credit card,1,1,76.63,1621.83,1
Male,0,No,No,66,One year,Fiber optic,Yes,Yes,Credit card,0,1,103.06,6857.58,0
Male,0,No,No,22,One year,Fiber optic,Yes,Yes,Bank transfer,1,1,86.83,2036.73,0
Female,0,Yes,No,32,One year,DSL,No,No,Mailed check,0,0,48.61,1642.35,0
Female,1,Yes,No,5,Two year,Fiber optic,No,No,Electronic check,0,1,57.65,246.91,1
Female,0,Yes,No,72,Month-to-month,No,No internet service,No internet service,Bank transfer,0,0,26.84,1912.79,0
Female,1,No,No,46,Month-to-month,DSL,Yes,No,Electronic check,0,2,55.31,2440.31,1
Female,1,No,No,25,Month-to-month,Fiber optic,No,Yes,Mailed check,2,0,61.44,1501.8,1
Female,0,No,Yes,20,One year,No,No internet service,No internet service,Electronic check,0,1,18.0,327.62,0
Female,0,Yes,No,39,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,76.65,3016.8,0
Male,0,No,No,56,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,1,0,94.86,5243.99,1
Male,1,No,No,72,One year,DSL,No,No,Bank transfer,2,0,50.12,3612.97,0
Female,0,Yes,No,45,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,0,85.62,3865.4,1
Male,0,No,Yes,27,One year,No,No internet service,No internet service,Electronic check,0,1,24.8,641.65,0
Female,0,Yes,No,50,One year,No,No internet service,No internet service,Electronic check,0,0,18.49,974.8,0
Female,1,No,Yes,44,Two year,DSL,Yes,No,Mailed check,2,1,74.15,3235.48,1
Female,0,Yes,Yes,28,Month-to-month,No,No internet service,No internet service,Bank transfer,1,0,18.0,523.53,0
Female,0,No,No,43,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,1,87.93,3703.05,1
Male,0,Yes,No,43,One year,Fiber optic,No,No,Credit card,0,1,64.33,2719.48,1
Male,0,Yes,No,25,Month-to-month,DSL,No,Yes,Electronic check,1,1,55.87,1454.37,1
Female,1,No,No,17,Month-to-month,DSL,No,Yes,Electronic check,0,0,70.25,1093.99,1
Male,0,No,Yes,40,One year,Fiber optic,Yes,No,Bank transfer,0,0,76.9,3121.16,0
Female,0,Yes,No,11,Month-to-month,Fiber optic,No,Yes,Electronic check,3,1,74.95,804.8,1
Female,0,Yes,Yes,9,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,20.17,59.62,0
Female,0,No,No,33,One year,DSL,No,Yes,Electronic check,0,0,62.04,2020.63,1
Male,0,No,No,40,Two year,No,No internet service,No internet service,Mailed check,0,0,18.0,764.05,1
Female,0,Yes,No,32,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,1,85.3,2868.01,1
Male,0,Yes,No,35,One year,DSL,Yes,No,Electronic check,2,0,55.46,2053.04,0
Female,0,Yes,No,39,Two year,DSL,No,No,Mailed check,1,0,43.28,1632.09,1
Male,1,No,No,66,One year,Fiber optic,No,Yes,Credit card,0,1,66.08,4409.23,0
Female,0,No,No,46,Two year,Fiber optic,Yes,No,Bank transfer,0,0,76.81,3506.39,0
Male,0,No,No,45,Month-to-month,DSL,Yes,No,Mailed check,1,0,53.56,2373.51,0
Female,0,Yes,No,31,Two year,Fiber optic,No,No,Credit card,0,0,71.33,2271.59,0
Female,0,No,Yes,32,Month-to-month,Fiber optic,Yes,No,Electronic check,2,1,59.19,1907.71,1
Female,1,Yes,No,23,Month-to-month,Fiber optic,Yes,No,Credit card,1,0,72.87,1689.87,1
Female,0,No,No,34,Two year,Fiber optic,No,Yes,Credit card,0,1,84.36,2767.6,0
Male,0,Yes,Yes,11,One year,No,No internet service,No internet service,Bank transfer,1,0,18.0,140.02,0
Male,0,Yes,No,66,Month-to-month,DSL,Yes,Yes,Electronic check,1,0,79.53,5194.94,0
Female,0,Yes,Yes,13,One year,DSL,No,No,Credit card,1,0,52.44,712.48,0
Female,0,Yes,No,46,Two year,DSL,No,No,Mailed check,1,1,48.4,2270.31,0
Female,0,Yes,No,61,One year,No,No internet service,No internet service,Electronic check,1,1,25.39,1652.92,0
Male,0,No,Yes,46,Month-to-month,Fiber optic,Yes,No,Credit card,1,0,69.7,3149.73,0
Female,1,No,No,72,One year,DSL,No,Yes,Mailed check,1,0,68.88,5064.91,0
Female,0,No,No,3,Two year,Fiber optic,Yes,Yes,Mailed check,0,1,85.95,242.23,0
Female,0,No,No,18,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,0,78.05,1409.64,1
Female,0,Yes,No,60,One year,Fiber optic,Yes,No,Credit card,3,0,84.54,5065.39,0
Female,0,No,No,9,Month-to-month,DSL,Yes,No,Mailed check,3,1,59.62,551.79,1
Male,0,Yes,No,14,Month-to-month,Fiber optic,No,Yes,Credit card,3,0,72.08,1050.95,0
Female,1,Yes,No,37,One year,Fiber optic,Yes,No,Electronic check,0,1,76.25,2883.5,1
Male,1,Yes,No,27,Month-to-month,DSL,No,Yes,Bank transfer,0,0,62.06,1660.96,0
Male,0,Yes,No,36,Month-to-month,DSL,No,No,Mailed check,0,1,49.99,1804.96,1
Female,0,No,Yes,29,Month-to-month,DSL,Yes,Yes,Electronic check,2,0,53.74,1503.79,0
Female,0,Yes,No,31,Month-to-month,Fiber optic,No,No,Electronic check,2,2,80.72,2542.99,1
Female,0,Yes,No,15,Month-to-month,DSL,No,No,Electronic check,1,0,50.8,777.96,0
Male,0,No,No,30,Month-to-month,DSL,Yes,No,Electronic check,3,1,53.35,1553.87,0
Male,0,Yes,No,19,One year,Fiber optic,Yes,No,Bank transfer,0,1,81.72,1478.08,0
Female,0,No,Yes,21,Month-to-month,No,No internet service,No internet service,Electronic check,1,0,20.55,441.2,1
Female,1,Yes,No,45,Month-to-month,Fiber optic,Yes,No,Bank transfer,4,0,64.25,2969.64,1
Male,0,No,No,8,Month-to-month,Fiber optic,No,Yes,Credit card,2,1,77.47,714.93,1
Female,0,No,Yes,2,One year,Fiber optic,No,Yes,Bank transfer,1,0,82.85,88.09,0
Female,0,Yes,No,43,One year,Fiber optic,Yes,Yes,Credit card,1,1,82.33,3596.26,0
Female,1,No,No,30,Two year,No,No internet service,No internet service,Bank transfer,0,1,22.64,727.05,0
Male,0,Yes,No,61,One year,No,No internet service,No internet service,Credit card,2,0,23.0,1486.09,0
Female,1,Yes,Yes,14,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,3,2,83.66,1199.77,1
Male,1,No,No,24,Month-to-month,Fiber optic,Yes,Yes,Electronic check,4,1,85.65,2035.54,1
Male,0,No,No,28,Month-to-month,DSL,Yes,No,Bank transfer,2,1,62.86,1807.23,0
Female,0,Yes,No,16,Two year,Fiber optic,No,No,Bank transfer,2,1,75.37,1051.31,0
Female,0,Yes,Yes,13,Month-to-month,Fiber optic,No,No,Bank transfer,0,1,85.73,1055.0,1
Female,0,Yes,Yes,45,Two year,Fiber optic,No,No,Electronic check,0,3,83.42,3701.73,0
Female,0,No,No,8,Two year,Fiber optic,No,Yes,Mailed check,0,0,70.58,524.28,0
Male,0,No,Yes,11,One year,DSL,No,No,Credit card,0,1,47.64,432.84,1
Male,0,Yes,Yes,24,Month-to-month,Fiber optic,Yes,No,Credit card,2,1,82.24,1939.9,1
Male,0,No,No,48,Two year,DSL,No,No,Mailed check,0,1,35.13,1653.02,0
Male,0,Yes,No,17,Month-to-month,DSL,Yes,Yes,Mailed check,4,0,66.98,1122.85,0
Male,0,No,No,16,Month-to-month,DSL,Yes,No,Electronic check,4,1,49.61,810.79,1
Male,0,No,Yes,23,One year,DSL,Yes,Yes,Bank transfer,1,0,64.03,1397.62,0
Male,0,No,No,34,Two year,DSL,Yes,Yes,Electronic check,0,1,64.55,2167.53,0
Female,0,Yes,No,20,One year,Fiber optic,No,Yes,Credit card,0,0,63.3,1260.51,0
Female,0,Yes,No,52,One year,Fiber optic,No,No,Bank transfer,2,2,88.8,4506.37,0
Female,0,Yes,Yes,54,Two year,Fiber optic,No,No,Electronic check,1,0,65.13,3512.6,0
Male,0,No,Yes,24,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,0,95.96,2317.36,0
Female,0,No,No,72,Two year,No,No internet service,No internet service,Bank transfer,1,1,18.0,1341.48,0
Female,0,Yes,Yes,27,Month-to-month,No,No internet service,No internet service,Bank transfer,1,0,19.2,439.21,0
Female,1,Yes,No,53,Month-to-month,Fiber optic,No,No,Bank transfer,0,1,75.71,4003.53,0
Female,0,Yes,Yes,33,Month-to-month,Fiber optic,No,No,Mailed check,1,1,67.39,2298.26,1
Male,0,No,Yes,33,Two year,Fiber optic,Yes,No,Mailed check,1,0,82.71,2625.28,0
Male,0,No,No,6,Two year,Fiber optic,Yes,No,Electronic check,1,0,81.39,487.93,1
Female,0,Yes,No,10,Month-to-month,DSL,No,No,Electronic check,4,1,42.67,335.35,1
Male,1,No,No,21,Month-to-month,Fiber optic,Yes,No,Electronic check,1,0,86.1,1782.33,1
Male,1,Yes,No,54,Month-to-month,DSL,Yes,No,Mailed check,3,1,60.9,3240.3,1
Female,0,No,Yes,33,One year,Fiber optic,No,No,Credit card,1,1,57.72,1927.22,0
Female,0,Yes,No,21,Month-to-month,Fiber optic,No,No,Electronic check,2,0,70.11,1454.6,1
Female,0,Yes,Yes,40,One year,No,No internet service,No internet service,Bank transfer,0,0,29.5,1103.4,0
Female,1,No,No,52,Month-to-month,DSL,No,No,Electronic check,2,1,48.47,2611.83,1
Male,0,No,No,26,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,1,84.66,2211.84,1
Female,1,Yes,No,31,Two year,Fiber optic,No,No,Electronic check,0,0,73.16,2327.17,0
Male,0,No,Yes,28,One year,No,No internet service,No internet service,Mailed check,2,1,18.0,438.29,0
Male,0,No,No,25,Month-to-month,No,No internet service,No internet service,Electronic check,0,0,22.66,542.91,0
Female,0,Yes,No,14,Month-to-month,DSL,No,Yes,Credit card,2,0,54.27,819.73,0
Female,0,No,No,13,Month-to-month,No,No internet service,No internet service,Electronic check,2,0,30.31,349.03,0
Female,0,No,Yes,40,Month-to-month,No,No internet service,No internet service,Mailed check,0,1,19.76,790.1,0
Male,0,Yes,No,53,Month-to-month,No,No internet service,No internet service,Credit card,2,1,39.85,2108.12,0
Female,0,No,No,21,One year,Fiber optic,No,No,Electronic check,1,0,64.57,1214.19,0
Male,0,No,No,21,Month-to-month,No,No internet service,No internet service,Bank transfer,1,0,18.0,373.87,0
Male,0,Yes,No,4,Month-to-month,DSL,Yes,No,Bank transfer,2,0,66.07,239.15,0
Male,0,No,No,4,Month-to-month,DSL,No,No,Electronic check,1,1,54.01,206.09,1
Male,0,Yes,No,62,One year,DSL,Yes,No,Electronic check,1,1,59.3,3633.43,0
Male,0,No,No,15,Month-to-month,Fiber optic,No,Yes,Credit card,3,0,75.26,1051.57,0
Female,1,No,Yes,72,Two year,No,No internet service,No internet service,Electronic check,1,0,21.37,1489.83,0
Female,1,Yes,Yes,17,Month-to-month,Fiber optic,No,No,Electronic check,4,2,72.86,1207.01,1
Female,0,No,No,6,One year,Fiber optic,No,Yes,Mailed check,1,0,72.65,472.32,0
Male,0,Yes,No,28,Month-to-month,Fiber optic,No,No,Electronic check,2,1,83.43,2302.45,1
Female,0,No,No,44,Month-to-month,Fiber optic,No,Yes,Credit card,0,0,79.09,3486.56,1
Female,0,No,Yes,41,Month-to-month,Fiber optic,No,No,Credit card,1,0,67.02,2759.89,1
Female,1,Yes,No,47,One year,Fiber optic,No,No,Credit card,1,0,65.87,3063.44,1
Female,0,No,No,12,Month-to-month,Fiber optic,No,No,Electronic check,1,1,59.44,771.56,1
Female,0,Yes,No,61,Two year,Fiber optic,No,Yes,Credit card,0,0,82.84,5030.74,0
Male,0,No,No,63,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,62.86,3926.51,0
Male,0,No,No,65,One year,Fiber optic,Yes,No,Bank transfer,2,0,74.97,4939.34,0
Female,1,No,Yes,31,Month-to-month,Fiber optic,Yes,No,Bank transfer,2,0,96.38,2996.0,1
Female,0,Yes,No,20,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,54.57,947.89,1
Female,1,No,No,18,One year,No,No internet service,No internet service,Mailed check,0,0,23.21,258.25,0
Female,0,No,No,6,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,1,65.05,485.91,0
Male,0,No,Yes,17,Month-to-month,No,No internet service,No internet service,Bank transfer,1,1,19.7,339.87,1
Female,1,No,No,2,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,0,82.86,155.29,1
Female,0,No,Yes,5,One year,DSL,No,No,Electronic check,0,0,38.57,59.74,1
Female,0,Yes,No,31,One year,Fiber optic,No,No,Mailed check,1,0,72.27,2231.59,1
Male,0,Yes,No,22,Month-to-month,DSL,No,Yes,Bank transfer,4,0,68.75,1449.22,0
Male,1,No,No,30,Month-to-month,DSL,No,No,Bank transfer,3,0,51.66,1530.86,1
